Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 04/17  17:00:00,27981717.520018829,27981717.52001884,0.0 
 04/17  18:00:00,14262770.002312564,14262770.002312564,0.0 
 04/17  19:00:00,10486894.258345897,10486894.258345895,0.0 
 04/17  20:00:00,9737784.395628443,9737784.395628443,0.0 
 04/17  21:00:00,9737784.395628443,9737784.395628443,0.0 
 04/17  22:00:00,8643951.519120457,8643951.519120455,0.0 
 04/17  23:00:00,6297449.08321209,6297449.08321209,0.0 
 04/17  24:00:00,8569604.825749658,8569604.825749658,0.0 
 04/18  01:00:00,8569604.825749658,8569604.825749658,0.0 
 04/18  02:00:00,8569604.825749658,8569604.825749658,0.0 
 04/18  03:00:00,8569604.825749658,8569604.825749658,0.0 
 04/18  04:00:00,8569604.825749658,8569604.825749658,0.0 
 04/18  05:00:00,8569604.825749658,8569604.825749658,0.0 
 04/18  06:00:00,16216311.00076477,16216311.00076477,0.0 
 04/18  07:00:00,18038966.941087925,18038966.941087925,0.0 
 04/18  08:00:00,33825324.08146608,33825324.08146608,0.0 
 04/18  09:00:00,35797532.54667676,35797532.54667677,0.0 
 04/18  10:00:00,36667868.273380849,36667868.27338085,0.0 
 04/18  11:00:00,38145318.08970209,38145318.08970209,0.0 
 04/18  12:00:00,36770890.42666164,36770890.42666164,0.0 
 04/18  13:00:00,40479017.49969946,40479017.49969944,0.0 
 04/18  14:00:00,41497579.64804957,41497579.64804957,0.0 
 04/18  15:00:00,41531348.392880428,41531348.39288042,0.0 
 04/18  16:00:00,40534798.438147258,40534798.438147258,0.0 
 04/18  17:00:00,28570313.03326662,28570313.03326662,0.0 
 04/18  18:00:00,14255294.683534766,14255294.683534766,0.0 
 04/18  19:00:00,10486894.258345897,10486894.25834589,0.0 
 04/18  20:00:00,9737784.395628443,9737784.395628443,0.0 
 04/18  21:00:00,9737784.395628443,9737784.395628443,0.0 
 04/18  22:00:00,8643951.519120457,8643951.519120455,0.0 
 04/18  23:00:00,6297449.08321209,6297449.08321209,0.0 
 04/18  24:00:00,8569604.825749658,8569604.825749658,0.0 
 04/19  01:00:00,8569604.825749658,8569604.825749658,0.0 
 04/19  02:00:00,8569604.825749658,8569604.825749658,0.0 
 04/19  03:00:00,8569604.825749658,8569604.825749658,0.0 
 04/19  04:00:00,8569604.825749658,8569604.825749658,0.0 
 04/19  05:00:00,8569604.825749658,8569604.825749658,0.0 
 04/19  06:00:00,16308163.997357946,16308163.997357944,0.0 
 04/19  07:00:00,17828023.640057994,17828023.640057997,0.0 
 04/19  08:00:00,30629085.268379328,30629085.268379317,0.0 
 04/19  09:00:00,31440444.180420698,31440444.180420698,0.0 
 04/19  10:00:00,32083496.00494322,32083496.00494323,0.0 
 04/19  11:00:00,32368800.359675118,32368800.359675118,0.0 
 04/19  12:00:00,29442332.58913347,29442332.589133469,0.0 
 04/19  13:00:00,32487603.634913837,32487603.634913837,0.0 
 04/19  14:00:00,32454732.006596809,32454732.006596809,0.0 
 04/19  15:00:00,32454619.86450535,32454619.86450535,0.0 
 04/19  16:00:00,32070782.562541658,32070782.56254165,0.0 
