Time,CORE_ZN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.006847E+03,2.347596E+03,5.227022E-02,2.074318E-01,3.048090E+03,1.758058E+03,1.582261E-01,1.553480E-01,1.864092E+03,1.063231E+03,9.676405E-02,9.395093E-02,2.979235E+03,1.741137E+03,1.546518E-01,1.538528E-01,1.878960E+03,1.157158E+03,9.753582E-02,1.022502E-01
00:20:00,1.006849E+03,2.342232E+03,5.227032E-02,2.069578E-01,3.048096E+03,1.746068E+03,1.582264E-01,1.542885E-01,1.864096E+03,1.055420E+03,9.676426E-02,9.326075E-02,2.979241E+03,1.729327E+03,1.546522E-01,1.528093E-01,1.878964E+03,1.145761E+03,9.753603E-02,1.012432E-01
00:30:00,1.006851E+03,2.337026E+03,5.227043E-02,2.064979E-01,3.048102E+03,1.734389E+03,1.582267E-01,1.532566E-01,1.864100E+03,1.047815E+03,9.676447E-02,9.258878E-02,2.979247E+03,1.717853E+03,1.546525E-01,1.517954E-01,1.878968E+03,1.134786E+03,9.753624E-02,1.002734E-01
00:40:00,1.006853E+03,2.331969E+03,5.227052E-02,2.060510E-01,3.048107E+03,1.723011E+03,1.582270E-01,1.522512E-01,1.864104E+03,1.040409E+03,9.676466E-02,9.193433E-02,2.979253E+03,1.706696E+03,1.546527E-01,1.508096E-01,1.878972E+03,1.124206E+03,9.753643E-02,9.933854E-02
00:50:00,1.006855E+03,2.327048E+03,5.227062E-02,2.056163E-01,3.048112E+03,1.711921E+03,1.582273E-01,1.512713E-01,1.864108E+03,1.033193E+03,9.676485E-02,9.129675E-02,2.979258E+03,1.695839E+03,1.546530E-01,1.498502E-01,1.878975E+03,1.113995E+03,9.753662E-02,9.843636E-02
01:00:00,1.006857E+03,2.322257E+03,5.227070E-02,2.051929E-01,3.048118E+03,1.701111E+03,1.582275E-01,1.503161E-01,1.864111E+03,1.026162E+03,9.676502E-02,9.067550E-02,2.979263E+03,1.685275E+03,1.546533E-01,1.489168E-01,1.878979E+03,1.104134E+03,9.753679E-02,9.756500E-02
01:10:00,1.006858E+03,2.317585E+03,5.227079E-02,2.047802E-01,3.048122E+03,1.690650E+03,1.582278E-01,1.493918E-01,1.864114E+03,1.019359E+03,9.676519E-02,9.007436E-02,2.979268E+03,1.675070E+03,1.546535E-01,1.480151E-01,1.878982E+03,1.094651E+03,9.753696E-02,9.672707E-02
01:20:00,1.006860E+03,2.313028E+03,5.227087E-02,2.043776E-01,3.048127E+03,1.680536E+03,1.582280E-01,1.484981E-01,1.864118E+03,1.012780E+03,9.676535E-02,8.949301E-02,2.979272E+03,1.665219E+03,1.546538E-01,1.471446E-01,1.878985E+03,1.085531E+03,9.753712E-02,9.592122E-02
01:30:00,1.006861E+03,2.308581E+03,5.227095E-02,2.039846E-01,3.048132E+03,1.670764E+03,1.582283E-01,1.476346E-01,1.864121E+03,1.006422E+03,9.676551E-02,8.893121E-02,2.979277E+03,1.655715E+03,1.546540E-01,1.463049E-01,1.878988E+03,1.076760E+03,9.753728E-02,9.514625E-02
01:40:00,1.006863E+03,2.304239E+03,5.227102E-02,2.036010E-01,3.048136E+03,1.661330E+03,1.582285E-01,1.468011E-01,1.864123E+03,1.000282E+03,9.676566E-02,8.838874E-02,2.979281E+03,1.646555E+03,1.546542E-01,1.454955E-01,1.878991E+03,1.068327E+03,9.753743E-02,9.440110E-02
01:50:00,1.006864E+03,2.300000E+03,5.227109E-02,2.032265E-01,3.048140E+03,1.652234E+03,1.582287E-01,1.459973E-01,1.864126E+03,9.943600E+02,9.676580E-02,8.786543E-02,2.979285E+03,1.637734E+03,1.546544E-01,1.447161E-01,1.878994E+03,1.060221E+03,9.753757E-02,9.368486E-02
02:00:00,1.006866E+03,2.295861E+03,5.227116E-02,2.028608E-01,3.048144E+03,1.643472E+03,1.582289E-01,1.452231E-01,1.864129E+03,9.886530E+02,9.676594E-02,8.736116E-02,2.979289E+03,1.629250E+03,1.546546E-01,1.439665E-01,1.878997E+03,1.052433E+03,9.753771E-02,9.299675E-02
02:10:00,1.006867E+03,2.291821E+03,5.227123E-02,2.025038E-01,3.048148E+03,1.634968E+03,1.582291E-01,1.444716E-01,1.864131E+03,9.831131E+02,9.676608E-02,8.687166E-02,2.979293E+03,1.621026E+03,1.546548E-01,1.432398E-01,1.878999E+03,1.044909E+03,9.753785E-02,9.233188E-02
02:20:00,1.006868E+03,2.287877E+03,5.227129E-02,2.021554E-01,3.048152E+03,1.626714E+03,1.582293E-01,1.437424E-01,1.864134E+03,9.777372E+02,9.676621E-02,8.639665E-02,2.979297E+03,1.613055E+03,1.546550E-01,1.425355E-01,1.879002E+03,1.037638E+03,9.753798E-02,9.168942E-02
02:30:00,1.006869E+03,2.284028E+03,5.227135E-02,2.018153E-01,3.048155E+03,1.618709E+03,1.582295E-01,1.430350E-01,1.864136E+03,9.725225E+02,9.676634E-02,8.593587E-02,2.979300E+03,1.605334E+03,1.546552E-01,1.418532E-01,1.879004E+03,1.030612E+03,9.753811E-02,9.106860E-02
02:40:00,1.006870E+03,2.280271E+03,5.227141E-02,2.014833E-01,3.048159E+03,1.610947E+03,1.582297E-01,1.423492E-01,1.864139E+03,9.674663E+02,9.676646E-02,8.548911E-02,2.979304E+03,1.597856E+03,1.546554E-01,1.411925E-01,1.879006E+03,1.023823E+03,9.753823E-02,9.046875E-02
02:50:00,1.006872E+03,2.276603E+03,5.227147E-02,2.011593E-01,3.048162E+03,1.603424E+03,1.582298E-01,1.416845E-01,1.864141E+03,9.625662E+02,9.676658E-02,8.505614E-02,2.979307E+03,1.590618E+03,1.546556E-01,1.405530E-01,1.879009E+03,1.017264E+03,9.753835E-02,8.988921E-02
03:00:00,1.006873E+03,2.273023E+03,5.227153E-02,2.008430E-01,3.048166E+03,1.596138E+03,1.582300E-01,1.410407E-01,1.864143E+03,9.578198E+02,9.676669E-02,8.463675E-02,2.979311E+03,1.583616E+03,1.546558E-01,1.399343E-01,1.879011E+03,1.010929E+03,9.753846E-02,8.932940E-02
03:10:00,1.006874E+03,2.269528E+03,5.227159E-02,2.005341E-01,3.048169E+03,1.589006E+03,1.582302E-01,1.404105E-01,1.864145E+03,9.531760E+02,9.676680E-02,8.422643E-02,2.979314E+03,1.576768E+03,1.546559E-01,1.393292E-01,1.879013E+03,1.004761E+03,9.753857E-02,8.878441E-02
03:20:00,1.006875E+03,2.266114E+03,5.227164E-02,2.002325E-01,3.048172E+03,1.582020E+03,1.582303E-01,1.397933E-01,1.864148E+03,9.486312E+02,9.676691E-02,8.382485E-02,2.979317E+03,1.570068E+03,1.546561E-01,1.387372E-01,1.879015E+03,9.987528E+02,9.753868E-02,8.825356E-02
03:30:00,1.006876E+03,2.262780E+03,5.227169E-02,1.999379E-01,3.048175E+03,1.575175E+03,1.582305E-01,1.391884E-01,1.864150E+03,9.441813E+02,9.676702E-02,8.343166E-02,2.979320E+03,1.563510E+03,1.546562E-01,1.381577E-01,1.879017E+03,9.928975E+02,9.753879E-02,8.773618E-02
03:40:00,1.006877E+03,2.259522E+03,5.227174E-02,1.996501E-01,3.048178E+03,1.568464E+03,1.582307E-01,1.385954E-01,1.864152E+03,9.398226E+02,9.676712E-02,8.304652E-02,2.979323E+03,1.557087E+03,1.546564E-01,1.375902E-01,1.879019E+03,9.871877E+02,9.753889E-02,8.723166E-02
03:50:00,1.006878E+03,2.256337E+03,5.227179E-02,1.993687E-01,3.048181E+03,1.561882E+03,1.582308E-01,1.380139E-01,1.864153E+03,9.355513E+02,9.676722E-02,8.266911E-02,2.979326E+03,1.550793E+03,1.546565E-01,1.370340E-01,1.879021E+03,9.816165E+02,9.753899E-02,8.673939E-02
04:00:00,1.006879E+03,2.253221E+03,5.227184E-02,1.990934E-01,3.048184E+03,1.555423E+03,1.582310E-01,1.374431E-01,1.864155E+03,9.313637E+02,9.676732E-02,8.229909E-02,2.979328E+03,1.544622E+03,1.546567E-01,1.364888E-01,1.879023E+03,9.761774E+02,9.753909E-02,8.625879E-02
04:10:00,1.006880E+03,2.250173E+03,5.227189E-02,1.988240E-01,3.048186E+03,1.549163E+03,1.582311E-01,1.368900E-01,1.864157E+03,9.273028E+02,9.676741E-02,8.194027E-02,2.979331E+03,1.538642E+03,1.546568E-01,1.359604E-01,1.879025E+03,9.709151E+02,9.753918E-02,8.579382E-02
04:20:00,1.006880E+03,2.247189E+03,5.227194E-02,1.985604E-01,3.048189E+03,1.543094E+03,1.582312E-01,1.363538E-01,1.864159E+03,9.233659E+02,9.676750E-02,8.159240E-02,2.979334E+03,1.532849E+03,1.546570E-01,1.354485E-01,1.879027E+03,9.658215E+02,9.753927E-02,8.534375E-02
04:30:00,1.006881E+03,2.244267E+03,5.227198E-02,1.983022E-01,3.048192E+03,1.537217E+03,1.582314E-01,1.358345E-01,1.864161E+03,9.195532E+02,9.676759E-02,8.125551E-02,2.979336E+03,1.527243E+03,1.546571E-01,1.349532E-01,1.879028E+03,9.608943E+02,9.753936E-02,8.490838E-02
04:40:00,1.006882E+03,2.241429E+03,5.227202E-02,1.980515E-01,3.048194E+03,1.532513E+03,1.582315E-01,1.354188E-01,1.864162E+03,9.175263E+02,9.676768E-02,8.107642E-02,2.979339E+03,1.523708E+03,1.546572E-01,1.346409E-01,1.879030E+03,9.566614E+02,9.753945E-02,8.453436E-02
04:50:00,1.006883E+03,2.238784E+03,5.227207E-02,1.978178E-01,3.048196E+03,1.529313E+03,1.582316E-01,1.351361E-01,1.864164E+03,9.207566E+02,9.676776E-02,8.136191E-02,2.979341E+03,1.525141E+03,1.546573E-01,1.347675E-01,1.879032E+03,9.533071E+02,9.753953E-02,8.423799E-02
05:00:00,1.006884E+03,2.236597E+03,5.227211E-02,1.976246E-01,3.048199E+03,1.528147E+03,1.582317E-01,1.350331E-01,1.864166E+03,9.326400E+02,9.676785E-02,8.241213E-02,2.979344E+03,1.531676E+03,1.546575E-01,1.353451E-01,1.879033E+03,9.511277E+02,9.753961E-02,8.404545E-02
05:10:00,1.006885E+03,2.235241E+03,5.227215E-02,1.975048E-01,3.048201E+03,1.529620E+03,1.582319E-01,1.351633E-01,1.864167E+03,9.572955E+02,9.676793E-02,8.459104E-02,2.979346E+03,1.546035E+03,1.546576E-01,1.366142E-01,1.879035E+03,9.504828E+02,9.753969E-02,8.398851E-02
05:20:00,1.006885E+03,2.235080E+03,5.227219E-02,1.974906E-01,3.048203E+03,1.531703E+03,1.582320E-01,1.353475E-01,1.864169E+03,9.935958E+02,9.676800E-02,8.779910E-02,2.979348E+03,1.565096E+03,1.546577E-01,1.382987E-01,1.879036E+03,9.516133E+02,9.753977E-02,8.408847E-02
05:30:00,1.006886E+03,2.236234E+03,5.227223E-02,1.975917E-01,3.048206E+03,1.536719E+03,1.582321E-01,1.357901E-01,1.864170E+03,1.045400E+03,9.676808E-02,9.237660E-02,2.979350E+03,1.592040E+03,1.546578E-01,1.406790E-01,1.879038E+03,9.547731E+02,9.753985E-02,8.436728E-02
05:40:00,1.006887E+03,2.239110E+03,5.227227E-02,1.978442E-01,3.048208E+03,1.544045E+03,1.582322E-01,1.364358E-01,1.864171E+03,1.111811E+03,9.676815E-02,9.824413E-02,2.979352E+03,1.621254E+03,1.546579E-01,1.432589E-01,1.879039E+03,9.580568E+02,9.753992E-02,8.465649E-02
