Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 07/24  16:00:00,45621732.102039579,45621732.102039579,0.0 
 07/24  17:00:00,34008712.91974146,34008712.919741448,0.0 
 07/24  18:00:00,13866076.319459133,13866076.319459131,0.0 
 07/24  19:00:00,9359053.77681453,9359053.776814528,0.0 
 07/24  20:00:00,9504654.395628443,9504654.395628443,0.0 
 07/24  21:00:00,9737784.395628443,9737784.395628443,0.0 
 07/24  22:00:00,8643951.519120457,8643951.519120455,0.0 
 07/24  23:00:00,6297449.08321209,6297449.08321209,0.0 
 07/24  24:00:00,8569604.825749658,8569604.825749658,0.0 
 07/25  01:00:00,8569604.825749658,8569604.825749658,0.0 
 07/25  02:00:00,8569604.825749658,8569604.825749658,0.0 
 07/25  03:00:00,8569604.825749658,8569604.825749658,0.0 
 07/25  04:00:00,8569604.825749658,8569604.825749658,0.0 
 07/25  05:00:00,8233244.825749659,8233244.825749658,0.0 
 07/25  06:00:00,25678045.44248178,25678045.44248178,0.0 
 07/25  07:00:00,24640036.07108575,24640036.071085749,0.0 
 07/25  08:00:00,39226927.85338965,39226927.85338964,0.0 
 07/25  09:00:00,39780502.60743025,39780502.60743024,0.0 
 07/25  10:00:00,40137859.881930317,40137859.881930317,0.0 
 07/25  11:00:00,40296325.95970576,40296325.959705758,0.0 
 07/25  12:00:00,38673663.03997328,38673663.039973277,0.0 
 07/25  13:00:00,42298317.46325047,42298317.463250469,0.0 
 07/25  14:00:00,43146989.221519608,43146989.22151959,0.0 
 07/25  15:00:00,43346078.19785599,43346078.19785599,0.0 
 07/25  16:00:00,43461865.371681917,43461865.371681917,0.0 
 07/25  17:00:00,31499285.38137696,31499285.381376957,0.0 
 07/25  18:00:00,13884204.334213149,13884204.334213149,0.0 
 07/25  19:00:00,9312926.3434424,9312926.343442399,0.0 
 07/25  20:00:00,9504654.395628443,9504654.395628443,0.0 
 07/25  21:00:00,9737784.395628443,9737784.395628443,0.0 
 07/25  22:00:00,8643951.519120457,8643951.519120455,0.0 
 07/25  23:00:00,6297449.08321209,6297449.08321209,0.0 
 07/25  24:00:00,8569604.825749658,8569604.825749658,0.0 
 07/26  01:00:00,8569604.825749658,8569604.825749658,0.0 
 07/26  02:00:00,8569604.825749658,8569604.825749658,0.0 
 07/26  03:00:00,8569604.825749658,8569604.825749658,0.0 
 07/26  04:00:00,8569604.825749658,8569604.825749658,0.0 
 07/26  05:00:00,8233244.825749659,8233244.825749658,0.0 
 07/26  06:00:00,22119932.860628714,22119932.860628714,0.0 
 07/26  07:00:00,22910422.283742619,22910422.283742615,0.0 
 07/26  08:00:00,37920037.14936015,37920037.14936014,0.0 
 07/26  09:00:00,38668102.69797851,38668102.69797851,0.0 
 07/26  10:00:00,39819813.94075537,39819813.94075537,0.0 
 07/26  11:00:00,40204421.79927584,40204421.79927583,0.0 
 07/26  12:00:00,38252617.51286267,38252617.51286267,0.0 
