Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/21  01:00:00,7934786.542088402,7934786.542088402,32044338.87588884 
 01/21  02:00:00,7233860.034248578,7233860.034248578,27027376.070512318 
 01/21  03:00:00,8019418.178977363,8019418.178977363,31479879.91977418 
 01/21  04:00:00,7233860.034248578,7233860.034248578,27067853.263269769 
 01/21  05:00:00,8019418.178977363,8019418.178977363,31502964.017359068 
 01/21  06:00:00,7233860.034248578,7233860.034248578,27078089.242925478 
 01/21  07:00:00,9211018.178977363,9211018.178977363,31509327.55416252 
 01/21  08:00:00,6426907.3619620199,6426907.3619620199,23425676.61990034 
 01/21  09:00:00,6695332.436289306,6695332.436289306,25868797.84937516 
 01/21  10:00:00,6074522.56881163,6074522.56881163,21524144.2121046 
 01/21  11:00:00,6711063.53221085,6711063.53221085,23930128.824583655 
 01/21  12:00:00,6075847.386980898,6075847.386980898,21512855.829388236 
 01/21  13:00:00,6713772.155866205,6713772.155866205,23969806.35237609 
 01/21  14:00:00,6077072.43394422,6077072.43394422,21538007.85803504 
 01/21  15:00:00,6715896.449215458,6715896.449215458,23922215.676163936 
 01/21  16:00:00,6077987.045286852,6077987.045286852,21482817.407743697 
 01/21  17:00:00,7451034.061539188,7451034.061539188,23930840.968915825 
 01/21  18:00:00,8279336.518330999,8279336.518330998,21468905.172745378 
 01/21  19:00:00,9196912.906224814,9196912.906224812,30578860.288092618 
 01/21  20:00:00,7623560.034310855,7623560.034310854,26961311.548063466 
 01/21  21:00:00,8409118.17903964,8409118.179039637,31463259.08492311 
 01/21  22:00:00,7623560.034310855,7623560.034310854,27072598.67517181 
 01/21  23:00:00,8409118.178977363,8409118.178977363,31497954.683942506 
 01/21  24:00:00,7623560.034248578,7623560.034248577,27078821.25396988 
 07/21  01:00:00,39933045.03799046,39933045.03799045,0.0 
 07/21  02:00:00,38614527.954225298,38614527.954225298,0.0 
 07/21  03:00:00,39892111.41664027,39892111.41664027,0.0 
 07/21  04:00:00,38380545.72895743,38380545.72895742,0.0 
 07/21  05:00:00,39208224.99881638,39208224.99881638,0.0 
 07/21  06:00:00,36853378.75138787,36853378.751387868,0.0 
 07/21  07:00:00,43275690.996117759,43275690.996117759,0.0 
 07/21  08:00:00,43681156.063671607,43681156.06367161,0.0 
 07/21  09:00:00,44947564.103900518,44947564.10390052,0.0 
 07/21  10:00:00,45770543.45337309,45770543.45337308,0.0 
 07/21  11:00:00,46450338.066403578,46450338.066403578,0.0 
 07/21  12:00:00,47121420.67871161,47121420.678711619,0.0 
 07/21  13:00:00,47731594.96447629,47731594.96447629,0.0 
 07/21  14:00:00,48224244.31601614,48224244.31601613,0.0 
 07/21  15:00:00,48728248.337501619,48728248.337501619,0.0 
 07/21  16:00:00,48635085.39007825,48635085.39007825,0.0 
 07/21  17:00:00,48459447.55293122,48459447.55293122,0.0 
 07/21  18:00:00,48122405.2008639,48122405.2008639,0.0 
 07/21  19:00:00,48253017.25050938,48253017.250509377,0.0 
 07/21  20:00:00,43631341.55729296,43631341.55729295,0.0 
 07/21  21:00:00,41186990.06014483,41186990.06014483,0.0 
 07/21  22:00:00,42396018.70042222,42396018.70042222,0.0 
 07/21  23:00:00,39717874.40770194,39717874.40770194,0.0 
 07/21  24:00:00,40957968.785064619,40957968.78506461,0.0 
 01/01  01:00:00,6404338.596677196,6404338.596677196,0.0 
 01/01  02:00:00,6404338.596677196,6404338.596677196,0.0 
 01/01  03:00:00,6404338.596677196,6404338.596677196,0.0 
 01/01  04:00:00,6404338.596677196,6404338.596677196,0.0 
 01/01  05:00:00,6404338.596677196,6404338.596677196,0.0 
 01/01  06:00:00,6404338.596677196,6404338.596677196,0.0 
 01/01  07:00:00,7595938.596677196,7595938.596677195,0.0 
 01/01  08:00:00,6128818.596677196,6128818.596677195,0.0 
 01/01  09:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  10:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  11:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  12:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  13:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  14:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  15:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  16:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  17:00:00,6862378.596677196,6862378.596677195,0.0 
