Time,CORE_ZN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,9.586064E+02,2.345110E+03,4.976580E-02,2.072121E-01,2.606044E+03,1.771638E+03,1.352795E-01,1.565481E-01,1.629526E+03,1.072546E+03,8.458785E-02,9.477413E-02,2.621412E+03,1.752913E+03,1.360773E-01,1.548936E-01,1.634180E+03,1.162199E+03,8.482945E-02,1.026957E-01
00:20:00,9.586086E+02,2.340080E+03,4.976592E-02,2.067677E-01,2.606050E+03,1.761248E+03,1.352798E-01,1.556300E-01,1.629530E+03,1.065632E+03,8.458807E-02,9.416320E-02,2.621418E+03,1.742504E+03,1.360776E-01,1.539738E-01,1.634185E+03,1.151748E+03,8.482967E-02,1.017723E-01
00:30:00,9.586106E+02,2.335200E+03,4.976602E-02,2.063366E-01,2.606056E+03,1.751172E+03,1.352802E-01,1.547397E-01,1.629535E+03,1.058917E+03,8.458828E-02,9.356991E-02,2.621424E+03,1.732401E+03,1.360779E-01,1.530811E-01,1.634189E+03,1.141712E+03,8.482988E-02,1.008855E-01
00:40:00,9.586125E+02,2.330460E+03,4.976612E-02,2.059178E-01,2.606062E+03,1.741404E+03,1.352805E-01,1.538767E-01,1.629538E+03,1.052387E+03,8.458848E-02,9.299289E-02,2.621430E+03,1.722577E+03,1.360782E-01,1.522132E-01,1.634193E+03,1.132064E+03,8.483008E-02,1.000331E-01
00:50:00,9.586144E+02,2.325850E+03,4.976622E-02,2.055104E-01,2.606067E+03,1.731918E+03,1.352807E-01,1.530385E-01,1.629542E+03,1.046028E+03,8.458867E-02,9.243102E-02,2.621435E+03,1.713008E+03,1.360785E-01,1.513676E-01,1.634196E+03,1.122781E+03,8.483027E-02,9.921279E-02
01:00:00,9.586161E+02,2.321360E+03,4.976631E-02,2.051138E-01,2.606072E+03,1.722690E+03,1.352810E-01,1.522231E-01,1.629545E+03,1.039829E+03,8.458885E-02,9.188325E-02,2.621441E+03,1.703665E+03,1.360788E-01,1.505420E-01,1.634200E+03,1.113842E+03,8.483045E-02,9.842292E-02
01:10:00,9.586178E+02,2.316984E+03,4.976639E-02,2.047271E-01,2.606077E+03,1.713761E+03,1.352813E-01,1.514342E-01,1.629549E+03,1.033816E+03,8.458902E-02,9.135199E-02,2.621446E+03,1.694621E+03,1.360790E-01,1.497429E-01,1.634203E+03,1.105268E+03,8.483062E-02,9.766535E-02
01:20:00,9.586194E+02,2.312715E+03,4.976648E-02,2.043499E-01,2.606082E+03,1.705120E+03,1.352815E-01,1.506706E-01,1.629552E+03,1.027981E+03,8.458919E-02,9.083634E-02,2.621450E+03,1.685876E+03,1.360793E-01,1.489702E-01,1.634206E+03,1.097041E+03,8.483079E-02,9.693842E-02
01:30:00,9.586209E+02,2.308549E+03,4.976656E-02,2.039818E-01,2.606087E+03,1.696749E+03,1.352818E-01,1.499310E-01,1.629555E+03,1.022327E+03,8.458935E-02,9.033681E-02,2.621455E+03,1.677427E+03,1.360795E-01,1.482236E-01,1.634209E+03,1.089138E+03,8.483094E-02,9.624018E-02
01:40:00,9.586224E+02,2.304481E+03,4.976663E-02,2.036224E-01,2.606091E+03,1.688634E+03,1.352820E-01,1.492140E-01,1.629558E+03,1.016858E+03,8.458950E-02,8.985354E-02,2.621459E+03,1.669272E+03,1.360797E-01,1.475031E-01,1.634212E+03,1.081543E+03,8.483110E-02,9.556904E-02
