Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 05/21  17:00:00,4495258.596677196,4495258.596677197,0.0 
 05/21  18:00:00,4495258.596677196,4495258.596677196,0.0 
 05/21  19:00:00,4495258.596677196,4495258.596677196,0.0 
 05/21  20:00:00,5427778.596677196,5427778.596677196,0.0 
 05/21  21:00:00,5894038.596677196,5894038.596677196,0.0 
 05/21  22:00:00,5894038.596677196,5894038.596677196,0.0 
 05/21  23:00:00,5894038.596677196,5894038.596677196,0.0 
 05/21  24:00:00,5504338.596677196,5504338.596677196,0.0 
 05/22  01:00:00,8569604.825749658,8569604.825749658,0.0 
 05/22  02:00:00,8569604.825749658,8569604.825749658,0.0 
 05/22  03:00:00,8569604.825749658,8569604.825749658,0.0 
 05/22  04:00:00,8569604.825749658,8569604.825749658,0.0 
 05/22  05:00:00,8569604.825749658,8569604.825749658,0.0 
