Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 12/21  01:00:00,8894147.670542689,8894147.670542689,27938746.500251097 
 12/21  02:00:00,8023326.403231109,8023326.403231109,22331277.492446927 
 12/21  03:00:00,8998758.822176287,8998758.822176287,25732972.8363787 
 12/21  04:00:00,8023326.403231109,8023326.403231109,22339213.415394214 
 12/21  05:00:00,8998758.822176287,8998758.822176287,25735130.327594144 
 12/21  06:00:00,8023326.403231109,8023326.403231109,22336328.832480223 
 12/21  07:00:00,10190358.822176286,10190358.822176287,25730562.877326885 
 12/21  08:00:00,7613714.326755214,7613714.326755215,21496758.510293746 
 12/21  09:00:00,7728474.224921199,7728474.224921199,26043145.52875422 
 12/21  10:00:00,6890634.398457008,6890634.39845701,21009182.878356015 
 12/21  11:00:00,7745983.988814136,7745983.988814136,26002899.857945164 
 12/21  12:00:00,6898832.121317214,6898832.121317214,21007824.495711119 
 12/21  13:00:00,7768645.155392764,7768645.155392764,26030901.538267133 
 12/21  14:00:00,6906579.730285668,6906579.730285668,21027384.270661408 
 12/21  15:00:00,7769083.630895162,7769083.630895162,25997296.413767049 
 12/21  16:00:00,6900000.857383343,6900000.857383343,20996407.006187448 
 12/21  17:00:00,8867348.6414929,8867348.641492902,26010328.07049624 
 12/21  18:00:00,9097539.052491017,9097539.052491017,20989609.094754418 
 12/21  19:00:00,10099775.477538854,10099775.477538854,26918252.894445495 
 12/21  20:00:00,8413026.403293385,8413026.403293387,22306946.754354806 
 12/21  21:00:00,9388458.822238565,9388458.822238565,25738188.314870188 
 12/21  22:00:00,8413026.403293385,8413026.403293387,22351633.394035065 
 12/21  23:00:00,9388458.822176287,9388458.822176289,25738691.23883475 
 12/21  24:00:00,8413026.403231109,8413026.403231109,22341683.56233406 
 07/21  01:00:00,40910743.25744842,40910743.25744842,0.0 
 07/21  02:00:00,38345480.52389167,38345480.52389167,0.0 
 07/21  03:00:00,39786343.528954368,39786343.528954368,0.0 
 07/21  04:00:00,38258499.43186041,38258499.43186041,0.0 
 07/21  05:00:00,39362302.08209014,39362302.08209014,0.0 
 07/21  06:00:00,37133181.919388268,37133181.919388268,0.0 
 07/21  07:00:00,44041899.96833058,44041899.968330588,0.0 
 07/21  08:00:00,43125012.434896159,43125012.43489616,0.0 
 07/21  09:00:00,44066515.96143159,44066515.9614316,0.0 
 07/21  10:00:00,45197206.11684631,45197206.11684631,0.0 
 07/21  11:00:00,46199372.30544909,46199372.30544909,0.0 
 07/21  12:00:00,47270466.75005732,47270466.75005732,0.0 
 07/21  13:00:00,48182398.62761734,48182398.627617347,0.0 
 07/21  14:00:00,48950714.917846199,48950714.91784621,0.0 
 07/21  15:00:00,49640869.80741337,49640869.80741338,0.0 
 07/21  16:00:00,49600336.04054916,49600336.04054917,0.0 
 07/21  17:00:00,49272438.33502497,49272438.33502498,0.0 
 07/21  18:00:00,48690591.326740067,48690591.32674007,0.0 
 07/21  19:00:00,48069539.1222965,48069539.122296508,0.0 
 07/21  20:00:00,43248415.71890276,43248415.71890275,0.0 
 07/21  21:00:00,41233260.5297031,41233260.5297031,0.0 
 07/21  22:00:00,43111190.265612367,43111190.265612367,0.0 
 07/21  23:00:00,39729779.41470435,39729779.41470435,0.0 
 07/21  24:00:00,43217140.87231443,43217140.87231444,0.0 
 01/01  01:00:00,6404338.596677196,6404338.596677196,0.0 
 01/01  02:00:00,6404338.596677196,6404338.596677196,0.0 
 01/01  03:00:00,6404338.596677196,6404338.596677196,0.0 
 01/01  04:00:00,6404338.596677196,6404338.596677196,0.0 
 01/01  05:00:00,6404338.596677196,6404338.596677196,0.0 
 01/01  06:00:00,6404338.596677196,6404338.596677196,0.0 
 01/01  07:00:00,7595938.596677196,7595938.596677195,0.0 
 01/01  08:00:00,6128818.596677196,6128818.596677195,0.0 
 01/01  09:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  10:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  11:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  12:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  13:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  14:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  15:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  16:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  17:00:00,6128818.596677196,6128818.596677196,0.0 
 01/01  18:00:00,7595938.596677196,7595938.596677195,0.0 
 01/01  19:00:00,7595938.596677196,7595938.596677195,0.0 
 01/01  20:00:00,6794038.596677196,6794038.596677196,0.0 
 01/01  21:00:00,6794038.596677196,6794038.596677196,0.0 
 01/01  22:00:00,6794038.596677196,6794038.596677196,0.0 
 01/01  23:00:00,6794038.596677196,6794038.596677196,0.0 
 01/01  24:00:00,6794038.596677196,6794038.596677196,0.0 
 01/02  01:00:00,9469604.825749658,9469604.825749658,0.0 
 01/02  02:00:00,9469604.825749658,9469604.825749658,0.0 
 01/02  03:00:00,9469604.825749658,9469604.825749658,0.0 
 01/02  04:00:00,9469604.825749658,9469604.825749658,0.0 
 01/02  05:00:00,9469604.825749658,9469604.825749658,0.0 
 01/02  06:00:00,9469604.825749658,9469604.825749658,0.0 
 01/02  07:00:00,33530914.83730617,33530914.83730616,6145906.307501668 
 01/02  08:00:00,39218447.2934526,39218447.2934526,7596708.440319806 
 01/02  09:00:00,39679256.95012618,39679256.95012618,0.0 
 01/02  10:00:00,34912165.41255285,34912165.41255285,0.0 
 01/02  11:00:00,32202336.844583215,32202336.844583215,0.0 
 01/02  12:00:00,30563222.982350086,30563222.98235009,0.0 
 01/02  13:00:00,30269079.21530048,30269079.21530048,0.0 
 01/02  14:00:00,30827394.742168368,30827394.742168368,0.0 
 01/02  15:00:00,30729933.815588219,30729933.815588226,0.0 
 01/02  16:00:00,30663159.518184194,30663159.518184209,0.0 
 01/02  17:00:00,32765020.907442776,32765020.907442787,0.0 
 01/02  18:00:00,27802729.31020411,27802729.310204109,0.0 
 01/02  19:00:00,25700135.925879454,25700135.92587945,0.0 
 01/02  20:00:00,11853154.258345897,11853154.258345895,0.0 
 01/02  21:00:00,10637784.395628443,10637784.395628443,0.0 
 01/02  22:00:00,10637784.395628443,10637784.395628443,0.0 
 01/02  23:00:00,9543951.519120457,9543951.519120455,0.0 
 01/02  24:00:00,7197449.08321209,7197449.08321209,0.0 
 01/03  01:00:00,9469604.825749658,9469604.825749658,0.0 
 01/03  02:00:00,9469604.825749658,9469604.825749658,0.0 
 01/03  03:00:00,9469604.825749658,9469604.825749658,0.0 
 01/03  04:00:00,9469604.825749658,9469604.825749658,0.0 
 01/03  05:00:00,9469604.825749658,9469604.825749658,0.0 
 01/03  06:00:00,9469604.825749658,9469604.825749658,0.0 
 01/03  07:00:00,31220009.156160505,31220009.156160505,4489462.881393621 
 01/03  08:00:00,36711160.619374427,36711160.619374427,7985330.507138541 
 01/03  09:00:00,35792772.594056058,35792772.594056058,0.0 
 01/03  10:00:00,32019885.95949944,32019885.959499446,0.0 
 01/03  11:00:00,30857187.265183856,30857187.26518386,0.0 
 01/03  12:00:00,29795455.99767162,29795455.99767162,0.0 
 01/03  13:00:00,27831739.49929711,27831739.49929711,0.0 
 01/03  14:00:00,30478740.205012785,30478740.20501279,0.0 
 01/03  15:00:00,30441650.35681363,30441650.356813633,0.0 
 01/03  16:00:00,30482561.493960464,30482561.493960468,0.0 
 01/03  17:00:00,31901988.67507898,31901988.675078989,0.0 
 01/03  18:00:00,23904990.47412927,23904990.474129268,0.0 
 01/03  19:00:00,19271736.42670112,19271736.426701115,0.0 
 01/03  20:00:00,11853154.258345897,11853154.258345895,0.0 
 01/03  21:00:00,10637784.395628443,10637784.395628443,0.0 
 01/03  22:00:00,10637784.395628443,10637784.395628443,0.0 
 01/03  23:00:00,9543951.519120457,9543951.519120455,0.0 
 01/03  24:00:00,7197449.08321209,7197449.08321209,0.0 
 01/04  01:00:00,9469604.825749658,9469604.825749658,0.0 
 01/04  02:00:00,9469604.825749658,9469604.825749658,0.0 
 01/04  03:00:00,9469604.825749658,9469604.825749658,0.0 
 01/04  04:00:00,9469604.825749658,9469604.825749658,0.0 
 01/04  05:00:00,9469604.825749658,9469604.825749658,0.0 
 01/04  06:00:00,9469604.825749658,9469604.825749658,0.0 
 01/04  07:00:00,24651429.46561091,24651429.46561091,1784836.6945974029 
 01/04  08:00:00,27604373.447463328,27604373.44746332,0.0 
 01/04  09:00:00,30172601.9484109,30172601.9484109,0.0 
 01/04  10:00:00,29749065.811449037,29749065.81144904,0.0 
 01/04  11:00:00,29951383.319778239,29951383.319778239,0.0 
 01/04  12:00:00,30810239.44278633,30810239.442786337,0.0 
 01/04  13:00:00,29096995.797466585,29096995.797466577,0.0 
