Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 04/02  24:00:00,5504338.596677196,5504338.596677196,0.0 
 04/03  01:00:00,8569604.825749658,8569604.825749658,0.0 
 04/03  02:00:00,8569604.825749658,8569604.825749658,0.0 
 04/03  03:00:00,8569604.825749658,8569604.825749658,0.0 
 04/03  04:00:00,8569604.825749658,8569604.825749658,0.0 
 04/03  05:00:00,8569604.825749658,8569604.825749658,0.0 
 04/03  06:00:00,29276543.538317384,29276543.538317384,1492143.8934858959 
 04/03  07:00:00,29829764.956483537,29829764.956483529,0.0 
 04/03  08:00:00,32674145.39846757,32674145.398467576,0.0 
 04/03  09:00:00,30862793.236686585,30862793.23668659,0.0 
 04/03  10:00:00,30690097.83895443,30690097.838954435,0.0 
 04/03  11:00:00,30815108.777990968,30815108.77799097,0.0 
 04/03  12:00:00,28967140.4154673,28967140.415467305,0.0 
 04/03  13:00:00,31470649.032898558,31470649.03289856,0.0 
 04/03  14:00:00,32676261.238771615,32676261.238771608,0.0 
 04/03  15:00:00,33894372.92107045,33894372.92107045,0.0 
 04/03  16:00:00,34707943.95028888,34707943.95028887,0.0 
 04/03  17:00:00,22890083.732516856,22890083.732516856,0.0 
 04/03  18:00:00,15737370.76144097,15737370.761440965,0.0 
 04/03  19:00:00,10010549.389738413,10010549.389738409,0.0 
 04/03  20:00:00,9737784.395628443,9737784.395628443,0.0 
 04/03  21:00:00,9737784.395628443,9737784.395628443,0.0 
 04/03  22:00:00,8643951.519120457,8643951.519120455,0.0 
 04/03  23:00:00,6297449.08321209,6297449.08321209,0.0 
 04/03  24:00:00,8569604.825749658,8569604.825749658,0.0 
 04/04  01:00:00,8569604.825749658,8569604.825749658,0.0 
 04/04  02:00:00,8569604.825749658,8569604.825749658,0.0 
 04/04  03:00:00,8569604.825749658,8569604.825749658,0.0 
 04/04  04:00:00,8569604.825749658,8569604.825749658,0.0 
 04/04  05:00:00,8569604.825749658,8569604.825749658,0.0 
 04/04  06:00:00,22012279.64199017,22012279.64199017,0.0 
 04/04  07:00:00,23786814.587870279,23786814.58787027,0.0 
 04/04  08:00:00,30773065.382663859,30773065.382663859,0.0 
 04/04  09:00:00,30834413.72719207,30834413.727192075,0.0 
 04/04  10:00:00,31262363.47886493,31262363.478864928,0.0 
 04/04  11:00:00,32089343.06803427,32089343.068034278,0.0 
 04/04  12:00:00,30644022.30467563,30644022.30467563,0.0 
 04/04  13:00:00,34605689.78735828,34605689.78735828,0.0 
 04/04  14:00:00,35687419.87316751,35687419.873167518,0.0 
 04/04  15:00:00,36738664.60565406,36738664.60565406,0.0 
 04/04  16:00:00,37724780.98912068,37724780.98912068,0.0 
 04/04  17:00:00,26495354.405265035,26495354.405265035,0.0 
 04/04  18:00:00,15795428.475322828,15795428.475322823,0.0 
 04/04  19:00:00,10010549.389738413,10010549.389738409,0.0 
 04/04  20:00:00,9737784.395628443,9737784.395628443,0.0 
 04/04  21:00:00,9737784.395628443,9737784.395628443,0.0 
 04/04  22:00:00,8643951.519120457,8643951.519120455,0.0 
 04/04  23:00:00,6297449.08321209,6297449.08321209,0.0 
 04/04  24:00:00,8569604.825749658,8569604.825749658,0.0 
 04/05  01:00:00,8569604.825749658,8569604.825749658,0.0 
 04/05  02:00:00,8569604.825749658,8569604.825749658,0.0 
 04/05  03:00:00,8569604.825749658,8569604.825749658,0.0 
 04/05  04:00:00,8569604.825749658,8569604.825749658,0.0 
 04/05  05:00:00,8569604.825749658,8569604.825749658,0.0 
 04/05  06:00:00,19371959.103933526,19371959.103933526,0.0 
 04/05  07:00:00,21603324.770535634,21603324.77053563,0.0 
 04/05  08:00:00,30932623.175490098,30932623.175490098,0.0 
 04/05  09:00:00,31598598.16517725,31598598.16517725,0.0 
