Time,CORE_ZN:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,9.913693E+02,2.369510E+03,5.146668E-02,2.093712E-01,2.680460E+03,1.757045E+03,1.391492E-01,1.552468E-01,1.634560E+03,1.069480E+03,8.485365E-02,9.449518E-02,2.592807E+03,1.748853E+03,1.345989E-01,1.545230E-01,1.634560E+03,1.179364E+03,8.485365E-02,1.042038E-01
00:20:00,9.913703E+02,2.362633E+03,5.146673E-02,2.087636E-01,2.680463E+03,1.741917E+03,1.391494E-01,1.539102E-01,1.634562E+03,1.059819E+03,8.485375E-02,9.364162E-02,2.592810E+03,1.734060E+03,1.345990E-01,1.532159E-01,1.634562E+03,1.165138E+03,8.485375E-02,1.029469E-01
00:30:00,9.913713E+02,2.355948E+03,5.146678E-02,2.081730E-01,2.680466E+03,1.727169E+03,1.391495E-01,1.526071E-01,1.634564E+03,1.050400E+03,8.485385E-02,9.280936E-02,2.592813E+03,1.719664E+03,1.345992E-01,1.519440E-01,1.634564E+03,1.151427E+03,8.485385E-02,1.017355E-01
00:40:00,9.913722E+02,2.349441E+03,5.146683E-02,2.075980E-01,2.680469E+03,1.712784E+03,1.391497E-01,1.513361E-01,1.634566E+03,1.041212E+03,8.485395E-02,9.199761E-02,2.592815E+03,1.705649E+03,1.345993E-01,1.507057E-01,1.634566E+03,1.138199E+03,8.485395E-02,1.005667E-01
00:50:00,9.913731E+02,2.343099E+03,5.146687E-02,2.070377E-01,2.680471E+03,1.698749E+03,1.391498E-01,1.500961E-01,1.634568E+03,1.032249E+03,8.485404E-02,9.120568E-02,2.592818E+03,1.691998E+03,1.345995E-01,1.494996E-01,1.634568E+03,1.125425E+03,8.485404E-02,9.943808E-02
01:00:00,9.913739E+02,2.336912E+03,5.146692E-02,2.064911E-01,2.680474E+03,1.685054E+03,1.391499E-01,1.488861E-01,1.634570E+03,1.023503E+03,8.485413E-02,9.043295E-02,2.592820E+03,1.678697E+03,1.345996E-01,1.483244E-01,1.634570E+03,1.113079E+03,8.485413E-02,9.834720E-02
01:10:00,9.913747E+02,2.330870E+03,5.146696E-02,2.059573E-01,2.680476E+03,1.671781E+03,1.391500E-01,1.477133E-01,1.634571E+03,1.015024E+03,8.485421E-02,8.968377E-02,2.592823E+03,1.665825E+03,1.345997E-01,1.471871E-01,1.634571E+03,1.101191E+03,8.485421E-02,9.729692E-02
01:20:00,9.913754E+02,2.324967E+03,5.146700E-02,2.054357E-01,2.680479E+03,1.658925E+03,1.391502E-01,1.465774E-01,1.634573E+03,1.006809E+03,8.485429E-02,8.895791E-02,2.592825E+03,1.653376E+03,1.345998E-01,1.460872E-01,1.634573E+03,1.089745E+03,8.485429E-02,9.628562E-02
01:30:00,9.913762E+02,2.319198E+03,5.146704E-02,2.049260E-01,2.680481E+03,1.646484E+03,1.391503E-01,1.454782E-01,1.634574E+03,9.988554E+02,8.485437E-02,8.825520E-02,2.592827E+03,1.641346E+03,1.346000E-01,1.450242E-01,1.634574E+03,1.078725E+03,8.485437E-02,9.531191E-02
01:40:00,9.913769E+02,2.313559E+03,5.146707E-02,2.044277E-01,2.680483E+03,1.634456E+03,1.391504E-01,1.444154E-01,1.634576E+03,9.911624E+02,8.485444E-02,8.757549E-02,2.592829E+03,1.629730E+03,1.346001E-01,1.439979E-01,1.634576E+03,1.068116E+03,8.485444E-02,9.437454E-02
01:50:00,9.913775E+02,2.308046E+03,5.146711E-02,2.039407E-01,2.680485E+03,1.622838E+03,1.391505E-01,1.433889E-01,1.634577E+03,9.837288E+02,8.485451E-02,8.691870E-02,2.592831E+03,1.618526E+03,1.346002E-01,1.430080E-01,1.634577E+03,1.057905E+03,8.485451E-02,9.347241E-02
02:00:00,9.913782E+02,2.302659E+03,5.146714E-02,2.034646E-01,2.680487E+03,1.611630E+03,1.391506E-01,1.423987E-01,1.634578E+03,9.765540E+02,8.485458E-02,8.628478E-02,2.592833E+03,1.607732E+03,1.346003E-01,1.420543E-01,1.634578E+03,1.048083E+03,8.485458E-02,9.260456E-02
02:10:00,9.913788E+02,2.297394E+03,5.146717E-02,2.029995E-01,2.680489E+03,1.600742E+03,1.391507E-01,1.414367E-01,1.634580E+03,9.695836E+02,8.485465E-02,8.566891E-02,2.592835E+03,1.597259E+03,1.346004E-01,1.411290E-01,1.634580E+03,1.038585E+03,8.485465E-02,9.176538E-02
02:20:00,9.913794E+02,2.292251E+03,5.146721E-02,2.025450E-01,2.680491E+03,1.590169E+03,1.391508E-01,1.405025E-01,1.634581E+03,9.628144E+02,8.485471E-02,8.507083E-02,2.592837E+03,1.587102E+03,1.346005E-01,1.402315E-01,1.634581E+03,1.029400E+03,8.485471E-02,9.095386E-02
02:30:00,9.913800E+02,2.287226E+03,5.146724E-02,2.021010E-01,2.680492E+03,1.579905E+03,1.391509E-01,1.395956E-01,1.634582E+03,9.562434E+02,8.485477E-02,8.449026E-02,2.592839E+03,1.577253E+03,1.346006E-01,1.393613E-01,1.634582E+03,1.020517E+03,8.485477E-02,9.016906E-02
02:40:00,9.913806E+02,2.282317E+03,5.146727E-02,2.016673E-01,2.680494E+03,1.569946E+03,1.391510E-01,1.387157E-01,1.634583E+03,9.498682E+02,8.485483E-02,8.392698E-02,2.592840E+03,1.567708E+03,1.346006E-01,1.385180E-01,1.634583E+03,1.011928E+03,8.485483E-02,8.941016E-02
02:50:00,9.913811E+02,2.277522E+03,5.146729E-02,2.012437E-01,2.680496E+03,1.560288E+03,1.391511E-01,1.378624E-01,1.634584E+03,9.436862E+02,8.485489E-02,8.338078E-02,2.592842E+03,1.558463E+03,1.346007E-01,1.377012E-01,1.634584E+03,1.003623E+03,8.485489E-02,8.867641E-02
03:00:00,9.913817E+02,2.272839E+03,5.146732E-02,2.008299E-01,2.680497E+03,1.550929E+03,1.391511E-01,1.370354E-01,1.634585E+03,9.376949E+02,8.485495E-02,8.285142E-02,2.592844E+03,1.549513E+03,1.346008E-01,1.369105E-01,1.634585E+03,9.955956E+02,8.485495E-02,8.796712E-02
03:10:00,9.913822E+02,2.268265E+03,5.146735E-02,2.004258E-01,2.680499E+03,1.541771E+03,1.391512E-01,1.362263E-01,1.634586E+03,9.318368E+02,8.485500E-02,8.233383E-02,2.592845E+03,1.540765E+03,1.346009E-01,1.361375E-01,1.634586E+03,9.877829E+02,8.485500E-02,8.727684E-02
03:20:00,9.913827E+02,2.263797E+03,5.146738E-02,2.000310E-01,2.680501E+03,1.532808E+03,1.391513E-01,1.354344E-01,1.634587E+03,9.261067E+02,8.485505E-02,8.182756E-02,2.592847E+03,1.532210E+03,1.346010E-01,1.353816E-01,1.634587E+03,9.801758E+02,8.485505E-02,8.660473E-02
03:30:00,9.913832E+02,2.259431E+03,5.146740E-02,1.996453E-01,2.680502E+03,1.524031E+03,1.391514E-01,1.346589E-01,1.634588E+03,9.204995E+02,8.485511E-02,8.133214E-02,2.592848E+03,1.523838E+03,1.346011E-01,1.346419E-01,1.634588E+03,9.727652E+02,8.485511E-02,8.594997E-02
03:40:00,9.913837E+02,2.255164E+03,5.146743E-02,1.992682E-01,2.680503E+03,1.515432E+03,1.391515E-01,1.338991E-01,1.634589E+03,9.150103E+02,8.485516E-02,8.084715E-02,2.592850E+03,1.515642E+03,1.346011E-01,1.339178E-01,1.634589E+03,9.655422E+02,8.485516E-02,8.531179E-02
03:50:00,9.913841E+02,2.250990E+03,5.146745E-02,1.988995E-01,2.680505E+03,1.507003E+03,1.391515E-01,1.331545E-01,1.634590E+03,9.096341E+02,8.485521E-02,8.037214E-02,2.592851E+03,1.507613E+03,1.346012E-01,1.332084E-01,1.634590E+03,9.584985E+02,8.485521E-02,8.468946E-02
04:00:00,9.913846E+02,2.246907E+03,5.146747E-02,1.985386E-01,2.680506E+03,1.498738E+03,1.391516E-01,1.324242E-01,1.634591E+03,9.043658E+02,8.485525E-02,7.990666E-02,2.592853E+03,1.499744E+03,1.346013E-01,1.325131E-01,1.634591E+03,9.516259E+02,8.485525E-02,8.408223E-02
04:10:00,9.913850E+02,2.242909E+03,5.146750E-02,1.981854E-01,2.680508E+03,1.490720E+03,1.391517E-01,1.317158E-01,1.634592E+03,8.992561E+02,8.485530E-02,7.945520E-02,2.592854E+03,1.492116E+03,1.346013E-01,1.318391E-01,1.634592E+03,9.449714E+02,8.485530E-02,8.349428E-02
04:20:00,9.913855E+02,2.238993E+03,5.146752E-02,1.978395E-01,2.680509E+03,1.482947E+03,1.391517E-01,1.310290E-01,1.634593E+03,8.943026E+02,8.485534E-02,7.901755E-02,2.592855E+03,1.484727E+03,1.346014E-01,1.311863E-01,1.634593E+03,9.385297E+02,8.485534E-02,8.292513E-02
04:30:00,9.913859E+02,2.235159E+03,5.146754E-02,1.975007E-01,2.680510E+03,1.475416E+03,1.391518E-01,1.303636E-01,1.634594E+03,8.895039E+02,8.485539E-02,7.859356E-02,2.592856E+03,1.477574E+03,1.346015E-01,1.305543E-01,1.634594E+03,9.322968E+02,8.485539E-02,8.237443E-02
04:40:00,9.913863E+02,2.231405E+03,5.146756E-02,1.971690E-01,2.680511E+03,1.468124E+03,1.391519E-01,1.297194E-01,1.634595E+03,8.848580E+02,8.485543E-02,7.818308E-02,2.592858E+03,1.470655E+03,1.346015E-01,1.299430E-01,1.634595E+03,9.262684E+02,8.485543E-02,8.184180E-02
04:50:00,9.913867E+02,2.227728E+03,5.146758E-02,1.968442E-01,2.680513E+03,1.461071E+03,1.391519E-01,1.290961E-01,1.634595E+03,8.803634E+02,8.485547E-02,7.778596E-02,2.592859E+03,1.463967E+03,1.346016E-01,1.293521E-01,1.634595E+03,9.204404E+02,8.485547E-02,8.132688E-02
05:00:00,9.913871E+02,2.224179E+03,5.146760E-02,1.965305E-01,2.680514E+03,1.455957E+03,1.391520E-01,1.286443E-01,1.634596E+03,8.797171E+02,8.485551E-02,7.772887E-02,2.592860E+03,1.461211E+03,1.346017E-01,1.291086E-01,1.634596E+03,9.157382E+02,8.485551E-02,8.091142E-02
05:10:00,9.913875E+02,2.220984E+03,5.146762E-02,1.962482E-01,2.680515E+03,1.453368E+03,1.391520E-01,1.284156E-01,1.634597E+03,8.889021E+02,8.485555E-02,7.854048E-02,2.592861E+03,1.467165E+03,1.346017E-01,1.296348E-01,1.634597E+03,9.125045E+02,8.485555E-02,8.062573E-02
05:20:00,9.913879E+02,2.218558E+03,5.146764E-02,1.960339E-01,2.680516E+03,1.453604E+03,1.391521E-01,1.284365E-01,1.634598E+03,9.092373E+02,8.485559E-02,8.033738E-02,2.592862E+03,1.479248E+03,1.346018E-01,1.307025E-01,1.634598E+03,9.109208E+02,8.485559E-02,8.048583E-02
05:30:00,9.913882E+02,2.217344E+03,5.146766E-02,1.959267E-01,2.680517E+03,1.455035E+03,1.391522E-01,1.285631E-01,1.634598E+03,9.449570E+02,8.485563E-02,8.349366E-02,2.592863E+03,1.500315E+03,1.346018E-01,1.325641E-01,1.634598E+03,9.114373E+02,8.485563E-02,8.053151E-02
05:40:00,9.913886E+02,2.217571E+03,5.146768E-02,1.959459E-01,2.680518E+03,1.459641E+03,1.391522E-01,1.289696E-01,1.634599E+03,9.963354E+02,8.485566E-02,8.803326E-02,2.592864E+03,1.527058E+03,1.346019E-01,1.349267E-01,1.634599E+03,9.141587E+02,8.485566E-02,8.077177E-02
05:50:00,9.913890E+02,2.219709E+03,5.146770E-02,1.961330E-01,2.680519E+03,1.467828E+03,1.391523E-01,1.296922E-01,1.634600E+03,1.063063E+03,8.485570E-02,9.392864E-02,2.592865E+03,1.560443E+03,1.346019E-01,1.378757E-01,1.634600E+03,9.191811E+02,8.485570E-02,8.121506E-02
06:00:00,9.913893E+02,2.223865E+03,5.146772E-02,1.964978E-01,2.680520E+03,1.478389E+03,1.391523E-01,1.306242E-01,1.634601E+03,1.143702E+03,8.485573E-02,1.010530E-01,2.592866E+03,1.593200E+03,1.346020E-01,1.407688E-01,1.634601E+03,9.241333E+02,8.485573E-02,8.165199E-02
06:10:00,9.913896E+02,2.230033E+03,5.146774E-02,1.970401E-01,2.680521E+03,1.491400E+03,1.391524E-01,1.317725E-01,1.634601E+03,1.233456E+03,8.485577E-02,1.089824E-01,2.592867E+03,1.622051E+03,1.346020E-01,1.433166E-01,1.634601E+03,9.299266E+02,8.485577E-02,8.216313E-02
06:20:00,9.913900E+02,2.237803E+03,5.146775E-02,1.977236E-01,2.680522E+03,1.504246E+03,1.391524E-01,1.329061E-01,1.634602E+03,1.331111E+03,8.485580E-02,1.176096E-01,2.592868E+03,1.648532E+03,1.346021E-01,1.456547E-01,1.634602E+03,9.363775E+02,8.485580E-02,8.273226E-02
06:30:00,9.913903E+02,2.246790E+03,5.146777E-02,1.985145E-01,2.680523E+03,1.520495E+03,1.391525E-01,1.343401E-01,1.634602E+03,1.432423E+03,8.485583E-02,1.265595E-01,2.592869E+03,1.668023E+03,1.346021E-01,1.473750E-01,1.634602E+03,9.432344E+02,8.485583E-02,8.333721E-02
06:40:00,9.913906E+02,2.256701E+03,5.146779E-02,1.993878E-01,2.680524E+03,1.539444E+03,1.391525E-01,1.360132E-01,1.634603E+03,1.539192E+03,8.485586E-02,1.359918E-01,2.592870E+03,1.684021E+03,1.346022E-01,1.487872E-01,1.634603E+03,9.508971E+02,8.485586E-02,8.401357E-02
