Time,CORE_ZN:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,6.262531E+02,2.750890E+03,3.251177E-02,2.430665E-01,1.469462E+03,2.418282E+03,7.628527E-02,2.136671E-01,9.297254E+02,1.486955E+03,4.826542E-02,1.313790E-01,1.475683E+03,2.419687E+03,7.660818E-02,2.137912E-01,9.305552E+02,1.566485E+03,4.830850E-02,1.384056E-01
00:20:00,6.262536E+02,2.743699E+03,3.251179E-02,2.424312E-01,1.469464E+03,2.402611E+03,7.628538E-02,2.122825E-01,9.297267E+02,1.476420E+03,4.826549E-02,1.304482E-01,1.475685E+03,2.403689E+03,7.660829E-02,2.123777E-01,9.305565E+02,1.552360E+03,4.830857E-02,1.371576E-01
00:30:00,6.262541E+02,2.736725E+03,3.251182E-02,2.418149E-01,1.469466E+03,2.387373E+03,7.628548E-02,2.109361E-01,9.297280E+02,1.466179E+03,4.826555E-02,1.295433E-01,1.475687E+03,2.388169E+03,7.660839E-02,2.110064E-01,9.305578E+02,1.538785E+03,4.830863E-02,1.359582E-01
00:40:00,6.262546E+02,2.729949E+03,3.251184E-02,2.412163E-01,1.469468E+03,2.372546E+03,7.628557E-02,2.096262E-01,9.297291E+02,1.456216E+03,4.826561E-02,1.286631E-01,1.475688E+03,2.373100E+03,7.660848E-02,2.096751E-01,9.305589E+02,1.525722E+03,4.830869E-02,1.348040E-01
00:50:00,6.262550E+02,2.723359E+03,3.251187E-02,2.406340E-01,1.469470E+03,2.358111E+03,7.628566E-02,2.083508E-01,9.297302E+02,1.446519E+03,4.826567E-02,1.278063E-01,1.475690E+03,2.358461E+03,7.660857E-02,2.083816E-01,9.305600E+02,1.513136E+03,4.830875E-02,1.336920E-01
01:00:00,6.262555E+02,2.716940E+03,3.251189E-02,2.400669E-01,1.469471E+03,2.344051E+03,7.628574E-02,2.071085E-01,9.297312E+02,1.437077E+03,4.826572E-02,1.269720E-01,1.475692E+03,2.344229E+03,7.660865E-02,2.071242E-01,9.305610E+02,1.500997E+03,4.830880E-02,1.326195E-01
01:10:00,6.262559E+02,2.710682E+03,3.251191E-02,2.395140E-01,1.469473E+03,2.330434E+03,7.628582E-02,2.059054E-01,9.297322E+02,1.427930E+03,4.826577E-02,1.261639E-01,1.475693E+03,2.330473E+03,7.660873E-02,2.059088E-01,9.305620E+02,1.489331E+03,4.830885E-02,1.315888E-01
01:20:00,6.262563E+02,2.704577E+03,3.251193E-02,2.389745E-01,1.469474E+03,2.317247E+03,7.628589E-02,2.047403E-01,9.297331E+02,1.419070E+03,4.826582E-02,1.253811E-01,1.475695E+03,2.317176E+03,7.660880E-02,2.047340E-01,9.305629E+02,1.478114E+03,4.830890E-02,1.305978E-01
01:30:00,6.262567E+02,2.698617E+03,3.251195E-02,2.384479E-01,1.469476E+03,2.304482E+03,7.628596E-02,2.036124E-01,9.297339E+02,1.410492E+03,4.826586E-02,1.246232E-01,1.475696E+03,2.304329E+03,7.660886E-02,2.035989E-01,9.305637E+02,1.467328E+03,4.830894E-02,1.296448E-01
01:40:00,6.262570E+02,2.692798E+03,3.251197E-02,2.379338E-01,1.469477E+03,2.292132E+03,7.628602E-02,2.025213E-01,9.297347E+02,1.402189E+03,4.826590E-02,1.238896E-01,1.475697E+03,2.291922E+03,7.660893E-02,2.025027E-01,9.305645E+02,1.456955E+03,4.830898E-02,1.287283E-01
01:50:00,6.262574E+02,2.687115E+03,3.251199E-02,2.374317E-01,1.469478E+03,2.280194E+03,7.628608E-02,2.014665E-01,9.297355E+02,1.394161E+03,4.826594E-02,1.231802E-01,1.475698E+03,2.279951E+03,7.660899E-02,2.014450E-01,9.305653E+02,1.446982E+03,4.830902E-02,1.278471E-01
02:00:00,6.262577E+02,2.681567E+03,3.251201E-02,2.369415E-01,1.469479E+03,2.268664E+03,7.628614E-02,2.004478E-01,9.297362E+02,1.386403E+03,4.826598E-02,1.224948E-01,1.475699E+03,2.268410E+03,7.660905E-02,2.004253E-01,9.305660E+02,1.437397E+03,4.830906E-02,1.270003E-01
02:10:00,6.262581E+02,2.676152E+03,3.251202E-02,2.364630E-01,1.469480E+03,2.257456E+03,7.628619E-02,1.994575E-01,9.297369E+02,1.378862E+03,4.826601E-02,1.218286E-01,1.475700E+03,2.257210E+03,7.660910E-02,1.994358E-01,9.305667E+02,1.428136E+03,4.830909E-02,1.261821E-01
02:20:00,6.262584E+02,2.670867E+03,3.251204E-02,2.359961E-01,1.469481E+03,2.246570E+03,7.628624E-02,1.984957E-01,9.297375E+02,1.371539E+03,4.826605E-02,1.211816E-01,1.475701E+03,2.246349E+03,7.660915E-02,1.984762E-01,9.305674E+02,1.419193E+03,4.830913E-02,1.253919E-01
02:30:00,6.262587E+02,2.665710E+03,3.251206E-02,2.355404E-01,1.469482E+03,2.236003E+03,7.628629E-02,1.975621E-01,9.297382E+02,1.364431E+03,4.826608E-02,1.205536E-01,1.475702E+03,2.235822E+03,7.660920E-02,1.975461E-01,9.305680E+02,1.410556E+03,4.830916E-02,1.246288E-01
02:40:00,6.262590E+02,2.660680E+03,3.251207E-02,2.350960E-01,1.469483E+03,2.225752E+03,7.628634E-02,1.966563E-01,9.297387E+02,1.357535E+03,4.826611E-02,1.199443E-01,1.475703E+03,2.225625E+03,7.660925E-02,1.966452E-01,9.305686E+02,1.402217E+03,4.830919E-02,1.238920E-01
