Time,CORE_ZN:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,8.652686E+02,2.373214E+03,4.492019E-02,2.096985E-01,1.636619E+03,1.835234E+03,8.496082E-02,1.621554E-01,1.057479E+03,1.110785E+03,5.489603E-02,9.814483E-02,1.769000E+03,1.806428E+03,9.183300E-02,1.596102E-01,1.057479E+03,1.218133E+03,5.489603E-02,1.076294E-01
00:20:00,8.652698E+02,2.367107E+03,4.492026E-02,2.091590E-01,1.636623E+03,1.824067E+03,8.496102E-02,1.611688E-01,1.057482E+03,1.103360E+03,5.489616E-02,9.748875E-02,1.769003E+03,1.794972E+03,9.183319E-02,1.585981E-01,1.057482E+03,1.206305E+03,5.489616E-02,1.065843E-01
00:30:00,8.652709E+02,2.361182E+03,4.492031E-02,2.086355E-01,1.636627E+03,1.813212E+03,8.496121E-02,1.602097E-01,1.057484E+03,1.096138E+03,5.489628E-02,9.685067E-02,1.769007E+03,1.783853E+03,9.183337E-02,1.576156E-01,1.057484E+03,1.194946E+03,5.489628E-02,1.055807E-01
00:40:00,8.652720E+02,2.355426E+03,4.492037E-02,2.081269E-01,1.636630E+03,1.802651E+03,8.496138E-02,1.592766E-01,1.057486E+03,1.089109E+03,5.489639E-02,9.622968E-02,1.769010E+03,1.773050E+03,9.183354E-02,1.566612E-01,1.057486E+03,1.184024E+03,5.489639E-02,1.046156E-01
00:50:00,8.652730E+02,2.349825E+03,4.492042E-02,2.076320E-01,1.636633E+03,1.792369E+03,8.496155E-02,1.583681E-01,1.057488E+03,1.082265E+03,5.489650E-02,9.562497E-02,1.769013E+03,1.762549E+03,9.183369E-02,1.557333E-01,1.057488E+03,1.173507E+03,5.489650E-02,1.036864E-01
01:00:00,8.652740E+02,2.344369E+03,4.492047E-02,2.071500E-01,1.636637E+03,1.782354E+03,8.496170E-02,1.574832E-01,1.057490E+03,1.075597E+03,5.489660E-02,9.503582E-02,1.769016E+03,1.752333E+03,9.183384E-02,1.548307E-01,1.057490E+03,1.163369E+03,5.489660E-02,1.027908E-01
01:10:00,8.652749E+02,2.339048E+03,4.492052E-02,2.066799E-01,1.636639E+03,1.772637E+03,8.496185E-02,1.566247E-01,1.057492E+03,1.069127E+03,5.489670E-02,9.446417E-02,1.769019E+03,1.742441E+03,9.183399E-02,1.539567E-01,1.057492E+03,1.153617E+03,5.489670E-02,1.019291E-01
01:20:00,8.652758E+02,2.333856E+03,4.492057E-02,2.062211E-01,1.636642E+03,1.763210E+03,8.496199E-02,1.557917E-01,1.057494E+03,1.062849E+03,5.489679E-02,9.390949E-02,1.769021E+03,1.732862E+03,9.183412E-02,1.531104E-01,1.057494E+03,1.144228E+03,5.489679E-02,1.010995E-01
01:30:00,8.652766E+02,2.328785E+03,4.492061E-02,2.057731E-01,1.636645E+03,1.754065E+03,8.496212E-02,1.549838E-01,1.057495E+03,1.056759E+03,5.489688E-02,9.337140E-02,1.769024E+03,1.723590E+03,9.183425E-02,1.522911E-01,1.057495E+03,1.135185E+03,5.489688E-02,1.003006E-01
01:40:00,8.652774E+02,2.323832E+03,4.492065E-02,2.053355E-01,1.636647E+03,1.745198E+03,8.496225E-02,1.542003E-01,1.057497E+03,1.050853E+03,5.489696E-02,9.284956E-02,1.769026E+03,1.714617E+03,9.183437E-02,1.514983E-01,1.057497E+03,1.126472E+03,5.489696E-02,9.953076E-02
